mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0.08515048027038574,0.0,0.004674196243286133,0.0,0.7,0.05,6,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",-1171198.6744186047,-1171198.6744186047,0.0,54
0.13698244094848633,0.0,0.005479097366333008,0.0,0.7,0.05,6,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.7}",-1246772.1802325582,-1246772.1802325582,0.0,104
0.12893462181091309,0.0,0.0045855045318603516,0.0,0.7,0.05,6,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",-1303669.5755813953,-1303669.5755813953,0.0,146
0.13196539878845215,0.0,0.004764080047607422,0.0,0.7,0.05,6,300,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",-1182385.3779069767,-1182385.3779069767,0.0,61
0.021634578704833984,0.0,0.003742218017578125,0.0,0.7,0.1,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-1189703.3488372094,-1189703.3488372094,0.0,68
0.026432037353515625,0.0,0.006810903549194336,0.0,0.7,0.1,3,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-1212175.546511628,-1212175.546511628,0.0,87
0.03038167953491211,0.0,0.006462812423706055,0.0,0.7,0.1,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-1342002.715116279,-1342002.715116279,0.0,169
0.06622719764709473,0.0,0.0066776275634765625,0.0,0.7,0.1,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-1204345.4186046512,-1204345.4186046512,0.0,79
0.06405830383300781,0.0,0.020071983337402344,0.0,0.7,0.1,3,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-1249194.1279069767,-1249194.1279069767,0.0,106
0.0744476318359375,0.0,0.004570722579956055,0.0,0.7,0.1,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-1388144.3023255814,-1388144.3023255814,0.0,201
0.10140156745910645,0.0,0.005947589874267578,0.0,0.7,0.1,3,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.7}",-1272549.953488372,-1272549.953488372,0.0,131
0.09199070930480957,0.0,0.005113124847412109,0.0,0.7,0.1,3,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-1332925.6744186047,-1332925.6744186047,0.0,164
